	Tags	SeqName	Description	Length	#Hits	e-Value	sim mean	#GO	GO IDs	GO Names	Enzyme Codes	Enzyme Names	InterPro IDs	InterPro GO IDs	InterPro GO Names
true	[BLASTED]	1	Cladosporium cladosporioides strain SUF158 small subunit ribosomal RNA gene sequence; mitochondrial	100	20	1.63243E-46	99.7								
true	[BLASTED, MAPPED, ANNOTATED]	2	Oscarella pearsei mitochondrion, complete genome	100	20	8.35177E-30	89.03	16	F:GO:0004129; F:GO:0005507; C:GO:0005743; F:GO:0008121; F:GO:0008137; F:GO:0008289; P:GO:0015986; P:GO:0015990; C:GO:0016021; F:GO:0016787; P:GO:0019646; F:GO:0020037; P:GO:0042773; C:GO:0045263; C:GO:0045275; C:GO:0045277	F:cytochrome-c oxidase activity; F:copper ion binding; C:mitochondrial inner membrane; F:ubiquinol-cytochrome-c reductase activity; F:NADH dehydrogenase (ubiquinone) activity; F:lipid binding; P:ATP synthesis coupled proton transport; P:electron transport coupled proton transport; C:integral component of membrane; F:hydrolase activity; P:aerobic electron transport chain; F:heme binding; P:ATP synthesis coupled electron transport; C:proton-transporting ATP synthase complex, coupling factor F(o); C:respiratory chain complex III; C:respiratory chain complex IV	EC:1.6.99.3; EC:1.9; EC:7.1.1.2; EC:1.6; EC:1; EC:1.6.5.11; EC:1.9.3; EC:1.6.5; EC:3; EC:7.1.1.9; EC:7; EC:7.1.1.8; EC:1.6.5.2	NADH dehydrogenase; Acting on a heme group of donors; n/a; Acting on NADH or NADPH; Oxidoreductases; NADH dehydrogenase (quinone); Acting on a heme group of donors; Acting on NADH or NADPH; Hydrolases; n/a; n/a; n/a; NAD(P)H dehydrogenase (quinone)			
true	[NO-BLAST]	3	---NA---	100											
true	[BLASTED, MAPPED]	4	Pocillopora damicornis mitochondrion, complete genome	100	17	3.81895E-4	100.0	32	F:GO:0004129; F:GO:0005507; C:GO:0005739; C:GO:0005743; P:GO:0006119; P:GO:0006754; P:GO:0006811; F:GO:0008121; F:GO:0008137; F:GO:0009055; P:GO:0009060; F:GO:0015002; F:GO:0015078; P:GO:0015986; P:GO:0015990; C:GO:0016020; C:GO:0016021; F:GO:0016491; F:GO:0016651; P:GO:0019646; F:GO:0020037; P:GO:0022900; P:GO:0022904; C:GO:0031966; P:GO:0042773; C:GO:0045263; C:GO:0045275; C:GO:0045277; F:GO:0046872; P:GO:0055114; C:GO:0070469; P:GO:1902600	F:cytochrome-c oxidase activity; F:copper ion binding; C:mitochondrion; C:mitochondrial inner membrane; P:oxidative phosphorylation; P:ATP biosynthetic process; P:ion transport; F:ubiquinol-cytochrome-c reductase activity; F:NADH dehydrogenase (ubiquinone) activity; F:electron transfer activity; P:aerobic respiration; F:heme-copper terminal oxidase activity; F:proton transmembrane transporter activity; P:ATP synthesis coupled proton transport; P:electron transport coupled proton transport; C:membrane; C:integral component of membrane; F:oxidoreductase activity; F:oxidoreductase activity, acting on NAD(P)H; P:aerobic electron transport chain; F:heme binding; P:electron transport chain; P:respiratory electron transport chain; C:mitochondrial membrane; P:ATP synthesis coupled electron transport; C:proton-transporting ATP synthase complex, coupling factor F(o); C:respiratory chain complex III; C:respiratory chain complex IV; F:metal ion binding; P:obsolete oxidation-reduction process; C:respirasome; P:proton transmembrane transport					
true	[BLASTED, MAPPED, ANNOTATED]	5	Hydnophora exesa voucher 6044 mitochondrion, complete genome	100	20	8.35177E-30	97.8	14	F:GO:0004129; F:GO:0005507; C:GO:0005743; F:GO:0008121; F:GO:0008137; P:GO:0015986; P:GO:0015990; C:GO:0016021; P:GO:0019646; F:GO:0020037; P:GO:0042773; C:GO:0045263; C:GO:0045275; C:GO:0045277	F:cytochrome-c oxidase activity; F:copper ion binding; C:mitochondrial inner membrane; F:ubiquinol-cytochrome-c reductase activity; F:NADH dehydrogenase (ubiquinone) activity; P:ATP synthesis coupled proton transport; P:electron transport coupled proton transport; C:integral component of membrane; P:aerobic electron transport chain; F:heme binding; P:ATP synthesis coupled electron transport; C:proton-transporting ATP synthase complex, coupling factor F(o); C:respiratory chain complex III; C:respiratory chain complex IV	EC:1.6.99.3; EC:1.9; EC:7.1.1.2; EC:1.6; EC:1; EC:1.6.5.11; EC:1.9.3; EC:1.6.5; EC:7.1.1.9; EC:7; EC:7.1.1.8; EC:1.6.5.2	NADH dehydrogenase; Acting on a heme group of donors; n/a; Acting on NADH or NADPH; Oxidoreductases; NADH dehydrogenase (quinone); Acting on a heme group of donors; Acting on NADH or NADPH; n/a; n/a; n/a; NAD(P)H dehydrogenase (quinone)			
true	[BLASTED, MAPPED, ANNOTATED]	6	Echinophyllia aspera voucher 6033 mitochondrion, complete genome	100	20	6.2133E-43	99.01	14	F:GO:0004129; F:GO:0005507; C:GO:0005743; F:GO:0008121; F:GO:0008137; P:GO:0015986; P:GO:0015990; C:GO:0016021; P:GO:0019646; F:GO:0020037; P:GO:0042773; C:GO:0045263; C:GO:0045275; C:GO:0045277	F:cytochrome-c oxidase activity; F:copper ion binding; C:mitochondrial inner membrane; F:ubiquinol-cytochrome-c reductase activity; F:NADH dehydrogenase (ubiquinone) activity; P:ATP synthesis coupled proton transport; P:electron transport coupled proton transport; C:integral component of membrane; P:aerobic electron transport chain; F:heme binding; P:ATP synthesis coupled electron transport; C:proton-transporting ATP synthase complex, coupling factor F(o); C:respiratory chain complex III; C:respiratory chain complex IV	EC:1.6.99.3; EC:1.9; EC:7.1.1.2; EC:1.6; EC:1; EC:1.6.5.11; EC:1.9.3; EC:1.6.5; EC:7.1.1.9; EC:7; EC:7.1.1.8; EC:1.6.5.2	NADH dehydrogenase; Acting on a heme group of donors; n/a; Acting on NADH or NADPH; Oxidoreductases; NADH dehydrogenase (quinone); Acting on a heme group of donors; Acting on NADH or NADPH; n/a; n/a; n/a; NAD(P)H dehydrogenase (quinone)			
true	[NO-BLAST]	7	---NA---	100											
true	[NO-BLAST]	8	---NA---	100											
true	[NO-BLAST]	9	---NA---	100											
true	[NO-BLAST]	10	---NA---	100											
